FULL NAME,POS,Guard,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,ORTG,DRTG
Dorian Finney-Smith,F,0,29.9,12.9,10.8,108,0.722,219,0.589,303,0.376,0.575,0.595,9.5,5.7,10,1.6,7.2,0.63,0.55,0.97,121.1,106.7
Wenyen Gabriel,F,0,5.6,18.7,18.9,10,0.6,9,0.556,8,0.125,0.382,0.444,1.7,0.9,9.2,0.3,6.6,0.27,0.18,0.45,86.8,103.5
Wenyen Gabriel,F,0,9.1,11.5,23.3,12,0.75,19,0.526,12,0.417,0.565,0.606,2.3,2.2,12.7,0.3,3.6,0.42,0.26,0.58,111,97.6
Danilo Gallinari,F,0,29.6,24.6,7.4,298,0.893,378,0.476,439,0.405,0.547,0.612,18.7,5.2,9.6,1.9,10.3,0.68,0.08,1.23,119.7,107.6
Paul George,F,0,29.6,29.6,12.5,217,0.876,401,0.464,381,0.412,0.539,0.589,21.5,5.7,10,3.9,21.1,1.4,0.42,2.6,111.9,100.9
Taj Gibson,F,0,16.5,14.8,12.9,56,0.732,272,0.599,14,0.286,0.591,0.61,6.1,4.3,13.9,0.8,7.6,0.44,0.48,0.74,119.8,103.7
Aaron Gordon,F,0,32.5,20.7,10.4,224,0.674,530,0.494,237,0.308,0.484,0.516,14.4,7.7,12.7,3.7,17.4,0.82,0.63,1.61,107.2,105.8
Jerami Grant,F,0,26.6,18,8.1,194,0.747,381,0.538,252,0.389,0.556,0.591,12,3.5,7.3,1.2,6.6,0.7,0.8,0.89,116.2,107.6
Draymond Green,F,0,28.4,15.7,21.8,83,0.759,186,0.468,129,0.279,0.448,0.491,8,6.2,11.8,6.2,31.2,1.37,0.77,2.28,100.6,105.2
Jeff Green,F,0,18.4,19.7,10.8,63,0.778,91,0.451,104,0.327,0.472,0.523,7.8,2.7,8.1,0.7,5.2,0.4,0.33,0.9,101.4,104.7
Jeff Green,F,0,22.6,17.9,8.5,28,0.857,70,0.8,79,0.354,0.658,0.682,12.2,2.9,6.7,1.7,11.6,0.83,0.5,0.83,130.4,104
Blake Griffin,F,0,28.5,28.4,12,98,0.776,139,0.439,111,0.243,0.406,0.476,15.5,4.7,9.3,3.3,18,0.39,0.39,2.22,97.5,111.8
Rui Hachimura,F,0,30.1,19,8,140,0.829,458,0.5,87,0.287,0.489,0.535,13.5,6.1,11.1,1.8,8.8,0.77,0.17,1.1,110,111.8
Donta Hall,F,0,12,7.9,23.1,6,0.667,4,0.25,0,0,0.25,0.452,1.5,3.8,17.8,0.5,5.3,0.25,0.25,0.5,109.9,95
Donta Hall,F,0,17.1,12.9,11.4,12,0.417,18,0.778,0,0,0.778,0.709,6.6,4.6,13.9,0.4,3.5,0.4,1,0.6,130.4,94.7
Tobias Harris,F,0,34.3,23.9,7.6,215,0.805,816,0.517,357,0.367,0.527,0.556,19.6,6.9,11.1,3.2,14.6,0.72,0.56,1.44,112.3,105.9
Udonis Haslem,F,0,11,13.7,7.3,4,0.75,8,0.375,3,0.333,0.409,0.47,3,4,20.3,0.3,3.1,0,0,0.25,96.9,94.9
Gordon Hayward,F,0,33.5,21.1,11.2,145,0.855,478,0.554,222,0.383,0.561,0.595,17.5,6.7,10.7,4.1,18.8,0.73,0.42,1.85,118.1,105.5
Juancho Hernangomez,F,0,12.4,14.3,12.9,25,0.64,50,0.46,60,0.25,0.414,0.442,3.1,2.8,12.6,0.6,6.7,0.15,0.15,0.53,94.4,108
Juancho Hernangomez,F,0,29.4,17,7.6,46,0.609,68,0.485,69,0.42,0.558,0.576,12.9,7.3,13.1,1.3,6.4,1,0.29,0.93,114.6,106
Kevin Hervey,F,0,5.2,22.8,0,0,0,7,0.571,20,0.15,0.315,0.315,1.7,1.2,12.7,0.5,13.9,0.1,0.1,0,78,102.5
Solomon Hill,F,0,18.8,13.3,13.9,38,0.684,86,0.465,146,0.384,0.534,0.551,5.7,3,8.4,2,13.4,0.65,0.15,0.83,109,106.3
